id,genre,preview
5Z8Dj3LtbyCMiwE86rhg2f,stutter house,https://p.scdn.co/mp3-preview/abbd7cd7eef9f92b09e9a9f2d30f0b2990f536e5
4AA57loUSZKtuHdULvizrc,stutter house,https://p.scdn.co/mp3-preview/154e06b77aed19154a2b3e7dcfc9af91c74f4433
4IHblO52meh2jwqES1BA7X,stutter house,https://p.scdn.co/mp3-preview/c0952ae5c7423cc08ca7a53f0f182a6f20586cde
24O9myIUqm0ZCSpAQq1See,uk drill,https://p.scdn.co/mp3-preview/010d241f39d64452a9771d59a79385d5f657fef3
7hq5opQ8OtGZs0aElFq0js,afro house,https://p.scdn.co/mp3-preview/7fe45bf111baddb77ce910038601c0a2e6a1c35e
6Po0JDs8vPuZOCF7RLbtUE,glitch,https://p.scdn.co/mp3-preview/aacdefb8654b0a4a2cf82e8721b2053026e73486
4FXj4ZKMO2dSkqiAhV7L8t,chillstep,https://p.scdn.co/mp3-preview/a41ace891fe524f3bd6df35c1aadc31e081e6681
16VcBBzVdwxIOIQZjVxV11,german hip hop,https://p.scdn.co/mp3-preview/5f9691a4386018490abcbca8f9e6a8a317f36ab7
7795WJLVKJoAyVoOtCWqXN,soft pop,https://p.scdn.co/mp3-preview/8959d5e6580b9d00fefd87bbbbf0dac0940a9d51
28VHPpOFGdY2PByaTe10ZX,german pop,https://p.scdn.co/mp3-preview/8d75092b2ad22b085ce27b4bed9bc309e6f1974a
0ggal2fI5xr8gtOVIhLKke,german hip hop,https://p.scdn.co/mp3-preview/445ccc5e7882a20577345539cc38db90ab7fcbbf
14ZdGRgEojosST783o66CX,german hip hop,https://p.scdn.co/mp3-preview/4063dce3f5b5a2bf70a3a8eb27fc7aef97b6de71
2LKOHdMsL0K9KwcPRlJK2v,witch house,https://p.scdn.co/mp3-preview/eb9de15a4465f504ee0eadba93e7d265ee0ee6ba
4w2lSUBDCLp8Tskl95xNAU,downtempo,https://p.scdn.co/mp3-preview/4a2dc9627e18dba41073579d1770c436668d83c0
0NNCkIadCP6VnV7LeGL1zx,downtempo,https://p.scdn.co/mp3-preview/f66000abc1d1a03cb7289919defc2662e692c5c6
4jFjlTTvc4v1HuiWJtIm8u,jazz rap,https://p.scdn.co/mp3-preview/3983407640a7009c788207bc95708a8e8821ec11
7B0gxo0jQCy5Lk93RIODAC,jungle,https://p.scdn.co/mp3-preview/26847100495f9f5a2b4bd5ced7a00b2147fdc92e
04OxTCLGgDKfO0MMA2lcxv,drum and bass,https://p.scdn.co/mp3-preview/243f26dcc3b430f5b7473a13a810e6ff65dc8ecc
0nCgsAki7e7I243CUblGxU,drum and bass,https://p.scdn.co/mp3-preview/1cc896cc8d03d7b33780fbc2e77b73742fcb3447
5sPveYsZpRDv3N6sdUjwyq,nu metal,https://p.scdn.co/mp3-preview/a241120344d576b3fee185f1f5ad6bc3d0359a9a
7hdQyiOV1BGk0A396zZ5xG,nu metal,https://p.scdn.co/mp3-preview/58449eea4ea9bc1172b5dfcced5a8015daf20bdb
3JQSLbov32rTtgzhrnRIrp,jazz rap,https://p.scdn.co/mp3-preview/a7cfc3e9c5dc916d9467099c347d3baf5436ff6a
2JWP3EPVXHxnYatwaWkf08,classic rock,https://p.scdn.co/mp3-preview/6f49fd9194b4c6b3a7ad78c522b07c31c6909c90
7AFAB7RL8PXHrSf4uY10Z6,hypertechno,https://p.scdn.co/mp3-preview/58bcfe3d4842efe58d6bd6f648a260dcf5b4a1c2
7gQAFGUyHPcY0cQNPsjMf0,eurodance,https://p.scdn.co/mp3-preview/49e5d2ff33f43a52f38687fab710810b88ab35bf
7diOv6wm3ngF7Vt6ubK0Sf,nu metal,https://p.scdn.co/mp3-preview/f3e93048e7949bb193a87710f4f3463b52d0bd00
6i5qhmmF9UNUBRyrPSGn4m,nu metal,https://p.scdn.co/mp3-preview/ad85d750fc7e3466db7d0a02615b2ce49f2ffd91
0J1IJsMbKWb5g2sJArTkGF,nu metal,https://p.scdn.co/mp3-preview/c5eefa1265db7d21a1719ec644d7338e52ef4dbe
2HBBM75Xv3o2Mqdyh1NcM0,nu metal,https://p.scdn.co/mp3-preview/e3fe000944c8a37ffcce29d6f83b3af19577a904
1EDPVGbyPKJPeGqATwXZvN,nu metal,https://p.scdn.co/mp3-preview/edc686b7336602448c4253ea253441078ead0475
5dhnFKVNR2x9BYqQ6FPpQh,nu metal,https://p.scdn.co/mp3-preview/c521a5f9d5094faafb698d4aa09a3a3455b4f618
5bvgRxco3jgSZ3SP8rueDA,nu metal,https://p.scdn.co/mp3-preview/83d38797fc9a619c6f163412b26d3789e005dd5d
58AS4weYlUWvGztZbKIuAU,nu metal,https://p.scdn.co/mp3-preview/69d997177dbddfb23aeddc495afb40c52ceb8485
2yss0n7KmvmSr4EHvjfFpn,nu metal,https://p.scdn.co/mp3-preview/596d56f64277a855418409e804ce82a3808562a6
3fjmSxt0PskST13CSdBUFx,nu metal,https://p.scdn.co/mp3-preview/e4cec97c55fab6b6360901c1da2525e08a029b03
